"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","currentProduct","currentProject","historicalMean","predictedConsumptionAveraged"
"52","1.15068493150685","1.31506849315069","1.47945205479452","0.986301369863014","0.821917808219178","0.657534246575343","0.821917808219178","1.64383561643836","0.328767123287671","1.15068493150685","0.328767123287671","1.31506849315069","6","7","8","9","10","11","12","1","2","3","4","5","DDGTBLOR1T-","CT974v2","6.08333333333333","1.23287671232877"
"53","0","0.585651537335286","0.585651537335286","1.75695461200586","1.17130307467057","1.17130307467057","0.585651537335286","1.93850658857979","1.17130307467057","0.878477306002928","1.3294289897511","0.825768667642753","1","2","3","4","5","6","7","8","9","10","11","12","DDGTHBTE1T-","CT974v2","170.75","1.35871156661786"
"54","0.533570475767008","0.533570475767008","1.60071142730102","1.06714095153402","1.06714095153402","0.533570475767008","1.7661182747888","1.06714095153402","0.800355713650511","1.21120497999111","0.752334370831481","1.06714095153402","2","3","4","5","6","7","8","9","10","11","12","1","DDGTHBTE1T-","CT974v2","187.416666666667","1.2453534904402"
"55","0.511865984178688","1.53559795253606","1.02373196835738","1.02373196835738","0.511865984178688","1.69427640763146","1.02373196835738","0.767798976268032","1.16193578408562","0.72173103769195","1.02373196835738","1","3","4","5","6","7","8","9","10","11","12","1","2","DDGTHBTE1T-","CT974v2","195.363636363636","1.17473243369009"
"56","1.40485312899106","0.936568752660707","0.936568752660707","0.468284376330353","1.55002128565347","0.936568752660707","0.70242656449553","1.0630055342699","0.660280970625798","0.936568752660707","1","1.40485312899106","4","5","6","7","8","9","10","11","12","1","2","3","DDGTHBTE1T-","CT974v2","213.545454545455","0.973251028806584"
"57","0.986989681471512","0.986989681471512","0.493494840735756","1.63346792283535","0.986989681471512","0.740242261103634","1.12023328847017","0.695827725437416","0.986989681471512","1","1.48048452220727","0.888290713324361","5","6","7","8","9","10","11","12","1","2","3","4","DDGTHBTE1T-","CT974v2","202.636363636364","1.07499626140272"
"58","0.956937799043062","0.478468899521531","1.58373205741627","0.956937799043062","0.717703349282297","1.08612440191388","0.674641148325359","0.956937799043062","1","1.43540669856459","0.861244019138756","1.29186602870813","6","7","8","9","10","11","12","1","2","3","4","5","DDGTHBTE1T-","CT974v2","209","0.970494417862839"
"59","0.991052993805919","0","0","2.4776324845148","0.825877494838266","2.4776324845148","0","2.6675843083276","1.07364074328975","0.412938747419133","0.958017894012388","0.115622849277357","1","2","3","4","5","6","7","8","9","10","11","12","DDGTHIVD1T-","CT974v2","121.083333333333","1.5216792842395"
"60","0","0","2.47561890472618","0.825206301575394","2.47561890472618","0","2.66541635408852","1.07276819204801","0.412603150787697","0.957239309827457","0.115528882220555","1","2","3","4","5","6","7","8","9","10","11","12","1","DDGTHIVD1T-","CT974v2","121.181818181818","1.54313578394599"
"61","0","2.30286113049546","0.767620376831821","2.30286113049546","0","2.47941381716678","0.997906489881368","0.383810188415911","0.890439637124913","0.107466852756455","1","0.767620376831821","3","4","5","6","7","8","9","10","11","12","1","2","DDGTHIVD1T-","CT974v2","130.272727272727","1.57362177250523"
"62","2.09351011863224","0.697836706210747","2.09351011863224","0","2.25401256106071","0.907187718073971","0.348918353105373","0.809490579204466","0.0976971388695045","1","0.697836706210747","1","4","5","6","7","8","9","10","11","12","1","2","3","DDGTHIVD1T-","CT974v2","143.3","1.41311933007676"
"63","0.767459708365311","2.30237912509593","0","2.47889485801995","0.997697620874904","0.383729854182655","0.890253261703761","0.107444359171144","1","0.767459708365311","1","1.30468150422103","5","6","7","8","9","10","11","12","1","2","3","4","DDGTHIVD1T-","CT974v2","130.3","1.64364287541571"
"64","2.04081632653061","0","2.19727891156463","0.884353741496599","0.340136054421769","0.789115646258503","0.0952380952380952","1","0.680272108843537","1","1.15646258503401","1.81632653061224","6","7","8","9","10","11","12","1","2","3","4","5","DDGTHIVD1T-","CT974v2","147","1.3469387755102"
"65","1.46666666666667","1.06666666666667","1.06666666666667","1.2","1.33333333333333","1.73333333333333","1.06666666666667","0.673333333333333","0","0.6","0.86","0.933333333333333","1","2","3","4","5","6","7","8","9","10","11","12","DDGTHIVU20T","CT974v2","150","1.13888888888889"
"66","1.14285714285714","1.14285714285714","1.28571428571429","1.42857142857143","1.85714285714286","1.14285714285714","0.721428571428571","0","0.642857142857143","0.921428571428571","1","0.714285714285714","2","3","4","5","6","7","8","9","10","11","12","1","DDGTHIVU20T","CT974v2","140","1.33928571428571"
"67","1.18518518518519","1.33333333333333","1.48148148148148","1.92592592592593","1.18518518518519","0.748148148148148","0","0.666666666666667","0.955555555555556","1.03703703703704","0.740740740740741","0.740740740740741","3","4","5","6","7","8","9","10","11","12","1","2","DDGTHIVU20T","CT974v2","135","1.49382716049383"
"68","1.28571428571429","1.42857142857143","1.85714285714286","1.14285714285714","0.721428571428571","0","0.642857142857143","0.921428571428571","1","0.714285714285714","0.714285714285714","1.57142857142857","4","5","6","7","8","9","10","11","12","1","2","3","DDGTHIVU20T","CT974v2","140","1.41071428571429"
"69","1.42857142857143","1.85714285714286","1.14285714285714","0.721428571428571","0","0.642857142857143","0.921428571428571","1","0.714285714285714","0.714285714285714","1.57142857142857","1.28571428571429","5","6","7","8","9","10","11","12","1","2","3","4","DDGTHIVU20T","CT974v2","140","1.45833333333333"
"70","1.82991202346041","1.12609970674487","0.710850439882698","0","0.633431085043988","0.90791788856305","0.985337243401759","0.703812316715542","0.703812316715542","1.54838709677419","1.26686217008798","1.58357771260997","6","7","8","9","10","11","12","1","2","3","4","5","DDGTHIVU20T","CT974v2","142.083333333333","1.3841642228739"
"71","0","0","0","2.17608695652174","3.22826086956522","0","1.55434782608696","1.31521739130435","0.956521739130435","0.884782608695652","0.884782608695652","1","2","3","4","5","6","7","8","9","10","11","12","1","DDGTMALP32T","CT974v2","209.090909090909","0.603804347826087"
"72","0","0","1.97826086956522","2.93478260869565","0","1.41304347826087","1.19565217391304","0.869565217391304","0.804347826086957","0.804347826086957","1","1","3","4","5","6","7","8","9","10","11","12","1","2","DDGTMALP32T","CT974v2","230","0.591304347826087"
"73","0","1.7804347826087","2.64130434782609","0","1.27173913043478","1.07608695652174","0.782608695652174","0.723913043478261","0.723913043478261","1","1","1","4","5","6","7","8","9","10","11","12","1","2","3","DDGTMALP32T","CT974v2","255.555555555556","0.525"
"74","1.72058823529412","2.55252100840336","0","1.22899159663866","1.03991596638655","0.756302521008403","0.699579831932773","0.699579831932773","1","1","1","0.302521008403361","5","6","7","8","9","10","11","12","1","2","3","4","DDGTMALP32T","CT974v2","264.444444444444","0.551470588235294"
"75","3.07594936708861","0","1.48101265822785","1.25316455696203","0.911392405063291","0.843037974683544","0.843037974683544","1","1","1","0.364556962025316","0.227848101265823","6","7","8","9","10","11","12","1","2","3","4","5","DDGTMALP32T","CT974v2","219.444444444444","0.664556962025316"
"76","1.45560407569141","0.291120815138282","1.45560407569141","1.03444929645803","1.28093158660844","1.0616205725376","1.45560407569141","0.477438136826783","0.388161086851043","1.04609412906356","1.12178554099951","0.931586608442504","1","2","3","4","5","6","7","8","9","10","11","12","DDGTPREG1S-","CT974v2","515.25","0.956817079087821"
"77","0.306278713629403","1.53139356814701","1.08831036242981","1.34762633996937","1.11689637570189","1.53139356814701","0.50229709035222","0.408371618172537","1.10056151097499","1.18019397651863","0.980091883614089","0.906584992343032","2","3","4","5","6","7","8","9","10","11","12","1","DDGTPREG1S-","CT974v2","489.75","1.0096988259316"
"78","1.48172538689496","1.05301284162002","1.30391834046757","1.08067171550873","1.48172538689496","0.486005926901548","0.395126769838657","1.06486664471518","1.14191636483372","0.948304247612776","0.877181429041818","0.685544945670069","3","4","5","6","7","8","9","10","11","12","1","2","DDGTPREG1S-","CT974v2","506.166666666667","1.04642739545604"
"79","1.09595613433859","1.35709389993146","1.12474297464016","1.54215215901302","0.505825908156271","0.411240575736806","1.10829335161069","1.18848526387937","0.986977381768334","0.912954078135709","0.713502398903359","1.05277587388622","4","5","6","7","8","9","10","11","12","1","2","3","DDGTPREG1S-","CT974v2","486.333333333333","1.1045236463331"
"80","1.37166608936612","1.13682022861101","1.55871146518878","0.511257360581919","0.415656390717007","1.12019397298233","1.20124696917215","0.997575337720817","0.922757187391756","0.721163837894008","1.06408036023554","0.978870800138552","5","6","7","8","9","10","11","12","1","2","3","4","DDGTPREG1S-","CT974v2","481.166666666667","1.21925874610322"
"81","1.13899010931806","1.56168662155128","0.512233211868818","0.416449765747007","1.12233211868818","1.20353982300885","0.999479437792816","0.924518479958355","0.722540343571057","1.06611140031234","0.980739198334201","1.35137948984904","6","7","8","9","10","11","12","1","2","3","4","5","DDGTPREG1S-","CT974v2","480.25","1.02307825785181"
"82","1.25979843225084","1.36058230683091","0.856662933930571","1.33034714445689","1.27659574468085","1.20940649496081","0.856662933930571","1.34042553191489","0.954087346024636","0.772676371780515","0.0890257558790594","0.693729003359462","1","2","3","4","5","6","7","8","9","10","11","12","DDGTSYPT30T","CT974v2","595.333333333333","1.18784994400896"
"83","1.37191249117855","0.863796753705011","1.34142554693013","1.28722653493296","1.21947776993649","0.863796753705011","1.3515878616796","0.962032462949894","0.779110797459421","0.0897671136203246","0.699505998588567","1.17035991531404","2","3","4","5","6","7","8","9","10","11","12","1","DDGTSYPT30T","CT974v2","590.416666666667","1.18616796047989"
"84","0.902255639097744","1.40114993365767","1.34453781512605","1.27377266696152","0.902255639097744","1.41176470588235","1.00486510393631","0.813799203892083","0.0937638213180009","0.730650154798762","1.22246793454224","0.898717381689518","3","4","5","6","7","8","9","10","11","12","1","2","DDGTSYPT30T","CT974v2","565.25","1.31534719150818"
"85","1.39929328621908","1.34275618374558","1.27208480565371","0.901060070671378","1.40989399293286","1.00353356890459","0.812720848056537","0.0936395759717314","0.729681978798587","1.2208480565371","0.897526501766785","0.916961130742049","4","5","6","7","8","9","10","11","12","1","2","3","DDGTSYPT30T","CT974v2","566","1.400765606596"
"86","1.35452250111392","1.28323184316055","0.908955888905391","1.42224862616961","1.01232734293777","0.819842566463686","0.0944601217882073","0.736076043368484","1.23154611614436","0.905391356007723","0.924996286944898","1.3064013069954","5","6","7","8","9","10","11","12","1","2","3","4","DDGTSYPT30T","CT974v2","561.083333333333","1.47096390910441"
"87","1.23393316195373","0.874035989717224","1.36760925449871","0.97343616109683","0.78834618680377","0.0908311910882605","0.707797772065124","1.18423307626392","0.870608397600686","0.889460154241645","1.25621251071123","1.76349614395887","6","7","8","9","10","11","12","1","2","3","4","5","DDGTSYPT30T","CT974v2","583.5","1.33533276206798"
